Symbol,Signal,Timestamp,M5,M15,M30,H1,H4,D1,W1,MN1
GBPNZD,Fractals,2022-11-11 20:34:53,,,,,,,,1
GBPUSD,EMA21,2022-11-11 20:34:53,-1,1,1,1,1,1,X,-1
GBPUSD,EMA50,2022-11-11 20:34:53,-X,1,1,1,1,1,-1,-1
GBPUSD,EMA100,2022-11-11 20:34:53,1,1,1,1,1,1,-1,-1
GBPUSD,EMA200,2022-11-11 20:34:53,1,1,1,1,1,-1,-1,-1
GBPUSD,SignalX,2022-11-11 20:34:53,,,,,-4,-3,,
GBPUSD,3LP,2022-11-11 20:34:53,,,,,-1,1,X,
GBPUSD,3LS,2022-11-11 20:34:54,,,,,,,,
GBPUSD,Fractals,2022-11-11 20:34:54,,,-1,,,,,1
NZDJPY,EMA21,2022-11-11 20:34:54,-1,-1,-1,-1,-1,-1,1,1
NZDJPY,EMA50,2022-11-11 20:34:54,-1,-1,-1,-1,-1,1,1,1
NZDJPY,EMA100,2022-11-11 20:34:54,-1,-1,-1,-1,-1,1,1,1
NZDJPY,EMA200,2022-11-11 20:34:54,-1,-1,-1,-1,-X,1,1,1
NZDJPY,SignalX,2022-11-11 20:34:54,4,2,,,,,,
NZDJPY,3LP,2022-11-11 20:34:54,,,,,1,-1,1,
NZDJPY,3LS,2022-11-11 20:34:55,,,,,,,-1,
NZDJPY,Fractals,2022-11-11 20:34:55,,,,,,,,
NZDUSD,EMA21,2022-11-11 20:34:55,1,1,1,1,1,1,X,-1
NZDUSD,EMA50,2022-11-11 20:34:55,1,1,1,1,1,1,-1,-1
NZDUSD,EMA100,2022-11-11 20:34:55,1,1,1,1,1,1,-1,-1
NZDUSD,EMA200,2022-11-11 20:34:55,1,1,1,1,1,-1,-1,-1
NZDUSD,SignalX,2022-11-11 20:34:55,,,,,-4,-2,,
NZDUSD,3LP,2022-11-11 20:34:55,,,,,-1,1,1,
NZDUSD,3LS,2022-11-11 20:34:56,,,,,,,,
NZDUSD,Fractals,2022-11-11 20:34:57,,,-1,,,,,
USDCAD,EMA21,2022-11-11 20:34:57,1,-1,-1,-1,-1,-1,1,1
USDCAD,EMA50,2022-11-11 20:34:57,-1,-1,-1,-1,-1,-1,1,1
USDCAD,EMA100,2022-11-11 20:34:57,-1,-1,-1,-1,-1,1,1,1
USDCAD,EMA200,2022-11-11 20:34:57,-1,-1,-1,-1,-1,1,1,1
USDCAD,SignalX,2022-11-11 20:34:57,,,,,4,2,,
USDCAD,3LP,2022-11-11 20:34:57,,,,,1,-1,-X,-X
USDCAD,3LS,2022-11-11 20:34:57,,,,,,,,
USDCAD,Fractals,2022-11-11 20:34:58,,,1,,,,,
USDCHF,EMA21,2022-11-11 20:34:58,-1,-1,-1,-1,-1,-1,-X,1
USDCHF,EMA50,2022-11-11 20:34:58,-1,-1,-1,-1,-1,-1,1,1
USDCHF,EMA100,2022-11-11 20:34:58,-1,-1,-1,-1,-1,-1,1,-X
USDCHF,EMA200,2022-11-11 20:34:58,-1,-1,-1,-1,-1,-1,1,-1
USDCHF,SignalX,2022-11-11 20:34:58,,,,4,4,2,,
USDCHF,3LP,2022-11-11 20:34:58,,,,,1,-1,-X,
USDCHF,3LS,2022-11-11 20:34:58,,,,,,,,-1
USDCHF,Fractals,2022-11-11 20:34:59,,1,,,,,,
USDJPY,EMA21,2022-11-11 20:34:59,-1,-1,-1,-1,-1,-1,1,1
USDJPY,EMA50,2022-11-11 20:34:59,-1,-1,-1,-1,-1,-1,1,1
USDJPY,EMA100,2022-11-11 20:34:59,-1,-1,-1,-1,-1,-X,1,1
USDJPY,EMA200,2022-11-11 20:34:59,-1,-1,-1,-1,-1,1,1,1
USDJPY,SignalX,2022-11-11 20:34:59,,,,,,,,
USDJPY,3LP,2022-11-11 20:34:59,,,,,1,-1,-X,
USDJPY,3LS,2022-11-11 20:34:59,,,,,,,,-1
USDJPY,Fractals,2022-11-11 20:35:00,,1,,,,,,
XAGAUD,EMA21,2022-11-11 20:35:00,-1,-1,-1,-1,1,1,1,X
XAGAUD,EMA50,2022-11-11 20:35:00,-1,-1,-1,-1,1,1,1,X
XAGAUD,EMA100,2022-11-11 20:35:00,-1,-1,-1,1,1,1,1,X
XAGAUD,EMA200,2022-11-11 20:35:00,-1,-1,1,1,1,1,1,X
XAGAUD,SignalX,2022-11-11 20:35:00,,,,,,,-1,
XAGAUD,3LP,2022-11-11 20:35:00,,,,,1,1,1,X
XAGAUD,3LS,2022-11-11 20:35:00,,,,,,,,
XAGAUD,Fractals,2022-11-11 20:35:01,1,,,,1,,,1
XAGEUR,EMA21,2022-11-11 20:35:01,-1,-1,-1,-X,1,1,1,X
XAGEUR,EMA50,2022-11-11 20:35:01,-1,-1,-1,1,1,1,1,1
XAGEUR,EMA100,2022-11-11 20:35:01,-1,-1,1,1,1,1,1,1
XAGEUR,EMA200,2022-11-11 20:35:01,-1,1,1,1,1,1,1,X
XAGEUR,SignalX,2022-11-11 20:35:01,,,,,,,-1,
XAGEUR,3LP,2022-11-11 20:35:01,,,,,1,1,1,X
XAGEUR,3LS,2022-11-11 20:35:02,,,,,,,,
XAGEUR,Fractals,2022-11-11 20:35:02,1,,,,1,,,1
XAGUSD,EMA21,2022-11-11 20:35:02,-1,-1,-X,1,1,1,1,X
XAGUSD,EMA50,2022-11-11 20:35:02,-1,1,1,1,1,1,X,X
XAGUSD,EMA100,2022-11-11 20:35:02,-1,1,1,1,1,1,-1,X
XAGUSD,EMA200,2022-11-11 20:35:02,1,1,1,1,1,1,X,1
XAGUSD,SignalX,2022-11-11 20:35:02,,,,,,-4,,
XAGUSD,3LP,2022-11-11 20:35:02,,,,,-1,1,1,
XAGUSD,3LS,2022-11-11 20:35:03,,,,,,,,
XAGUSD,Fractals,2022-11-11 20:35:03,,,,,,,,1
XAUAUD,EMA21,2022-11-11 20:35:03,1,-1,-1,-1,1,1,1,1
XAUAUD,EMA50,2022-11-11 20:35:03,-1,-1,-1,-1,1,1,1,1
XAUAUD,EMA100,2022-11-11 20:35:03,-1,-1,-1,1,1,1,1,1
XAUAUD,EMA200,2022-11-11 20:35:03,-1,-1,1,1,1,1,1,1
XAUAUD,SignalX,2022-11-11 20:35:03,,,,,,,,
XAUAUD,3LP,2022-11-11 20:35:03,,,,,1,1,1,
XAUAUD,3LS,2022-11-11 20:35:04,,,,1,,,,
XAUAUD,Fractals,2022-11-11 20:35:05,,,,,,,,
XAUCHF,EMA21,2022-11-11 20:35:05,-1,-X,-X,1,1,1,X,X
XAUCHF,EMA50,2022-11-11 20:35:05,-1,1,1,1,1,1,-1,X
XAUCHF,EMA100,2022-11-11 20:35:05,-1,1,1,1,1,1,-1,X
XAUCHF,EMA200,2022-11-11 20:35:05,1,1,1,1,1,-1,X,X
XAUCHF,SignalX,2022-11-11 20:35:05,,,,,,-1,,
XAUCHF,3LP,2022-11-11 20:35:05,,,,,1,1,X,
XAUCHF,3LS,2022-11-11 20:35:05,,,,,,,,1
XAUCHF,Fractals,2022-11-11 20:35:06,-1,,-1,1,,,,1
XAUEUR,EMA21,2022-11-11 20:35:06,1,-1,-1,1,1,1,X,1
XAUEUR,EMA50,2022-11-11 20:35:06,-1,-1,1,1,1,1,X,1
XAUEUR,EMA100,2022-11-11 20:35:06,-1,1,1,1,1,1,1,1
XAUEUR,EMA200,2022-11-11 20:35:06,1,1,1,1,1,1,1,1
XAUEUR,SignalX,2022-11-11 20:35:06,,,,,,,,
XAUEUR,3LP,2022-11-11 20:35:06,,,,,1,1,X,
XAUEUR,3LS,2022-11-11 20:35:06,,,,1,,,,1
XAUEUR,Fractals,2022-11-11 20:35:07,,,,,,,,
XAUGBP,EMA21,2022-11-11 20:35:07,1,1,1,1,1,1,1,1
XAUGBP,EMA50,2022-11-11 20:35:07,1,1,1,1,1,1,1,1
XAUGBP,EMA100,2022-11-11 20:35:07,1,1,1,1,1,1,1,1
XAUGBP,EMA200,2022-11-11 20:35:07,1,1,1,1,1,1,1,1
XAUGBP,SignalX,2022-11-11 20:35:07,,,,,,,,
XAUGBP,3LP,2022-11-11 20:35:07,,,,,1,1,X,X
XAUGBP,3LS,2022-11-11 20:35:07,,,,,,,,
XAUGBP,Fractals,2022-11-11 20:35:08,,,,,,-1,,-1
XAUJPY,EMA21,2022-11-11 20:35:08,-1,-1,-1,-1,-X,1,1,1
XAUJPY,EMA50,2022-11-11 20:35:08,-1,-1,-1,-1,1,1,1,1
XAUJPY,EMA100,2022-11-11 20:35:08,-1,-1,-1,-X,1,1,1,1
XAUJPY,EMA200,2022-11-11 20:35:08,-1,-1,-X,1,1,1,1,1
XAUJPY,SignalX,2022-11-11 20:35:08,,2,,,,,,
XAUJPY,3LP,2022-11-11 20:35:08,,,,,1,1,X,
XAUJPY,3LS,2022-11-11 20:35:09,,,,,,,,
XAUJPY,Fractals,2022-11-11 20:35:09,,,,,,-1,,
XAUUSD,EMA21,2022-11-11 20:35:09,-1,1,1,1,1,1,X,-1
XAUUSD,EMA50,2022-11-11 20:35:09,1,1,1,1,1,1,-1,X
XAUUSD,EMA100,2022-11-11 20:35:09,1,1,1,1,1,1,-1,1
XAUUSD,EMA200,2022-11-11 20:35:09,1,1,1,1,1,X,X,1
XAUUSD,SignalX,2022-11-11 20:35:09,,,,,-4,-4,,
XAUUSD,3LP,2022-11-11 20:35:09,,,,,-1,1,X,
XAUUSD,3LS,2022-11-11 20:35:10,,,,,,,,1
XAUUSD,Fractals,2022-11-11 20:35:10,,,-1,,,,,1
XBRUSD,EMA21,2022-11-11 20:35:10,-1,1,1,1,1,X,-X,1
XBRUSD,EMA50,2022-11-11 20:35:10,1,1,1,1,1,X,1,1
XBRUSD,EMA100,2022-11-11 20:35:10,1,1,1,1,1,-1,1,1
XBRUSD,EMA200,2022-11-11 20:35:10,1,1,1,1,1,-1,1,1
XBRUSD,SignalX,2022-11-11 20:35:10,,,,,,,,
XBRUSD,3LP,2022-11-11 20:35:10,,,,,-1,X,-X,X
XBRUSD,3LS,2022-11-11 20:35:11,,,,-1,,,,
XBRUSD,Fractals,2022-11-11 20:35:11,,1,-1,,,,,1
XNGUSD,EMA21,2022-11-11 20:35:11,-1,1,1,1,1,X,-1,1
XNGUSD,EMA50,2022-11-11 20:35:11,1,1,1,1,1,-1,-X,1
XNGUSD,EMA100,2022-11-11 20:35:11,1,1,1,1,1,-1,1,1
XNGUSD,EMA200,2022-11-11 20:35:11,1,1,1,1,-1,-1,1,1
XNGUSD,SignalX,2022-11-11 20:35:11,,,,,,,,
XNGUSD,3LP,2022-11-11 20:35:11,,,,,X,1,X,
XNGUSD,3LS,2022-11-11 20:35:12,,,,,,,,
XNGUSD,Fractals,2022-11-11 20:35:12,-1,,,-1,,1,1,
XTIUSD,EMA21,2022-11-11 20:35:12,-1,1,1,1,1,X,-1,1
XTIUSD,EMA50,2022-11-11 20:35:12,1,1,1,1,X,X,-X,1
XTIUSD,EMA100,2022-11-11 20:35:12,1,1,1,1,1,-1,1,1
XTIUSD,EMA200,2022-11-11 20:35:12,1,1,1,1,1,-1,1,1
XTIUSD,SignalX,2022-11-11 20:35:12,,,,,,,,
XTIUSD,3LP,2022-11-11 20:35:12,,,,,-1,X,1,X
XTIUSD,3LS,2022-11-11 20:35:13,,,,,,,,
XTIUSD,Fractals,2022-11-11 20:35:13,,1,-1,,,,,1
